model,mode,threshold,precision,recall,f1
LLaMA-8B,one-expl,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-8B,one-expl,0.1,0.5,1.0,0.6666666666666666
LLaMA-8B,one-expl,0.2,0.5,1.0,0.6666666666666666
LLaMA-8B,one-expl,0.3,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.4,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.5,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.6,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.7,0.5,0.9986648865153538,0.666369710467706
LLaMA-8B,one-expl,0.8,0.5010046885465506,0.9986648865153538,0.6672613737734167
LLaMA-8B,one-expl,0.9,0.4877430262045646,0.7703604806408545,0.5973084886128365
LLaMA-8B,one-expl,1.0,0.5217391304347826,0.0160213618157543,0.0310880829015544
LLaMA-8B,one-llm,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-8B,one-llm,0.1,0.5092966855295069,0.8411214953271028,0.6344410876132931
LLaMA-8B,one-llm,0.2,0.5155440414507773,0.7970627503337784,0.6261143156790772
LLaMA-8B,one-llm,0.3,0.5111507582515611,0.7650200267022697,0.6128342245989303
LLaMA-8B,one-llm,0.4,0.5072332730560579,0.7489986648865153,0.6048517520215634
LLaMA-8B,one-llm,0.5,0.5014299332697807,0.7022696929238985,0.5850945494994438
LLaMA-8B,one-llm,0.6,0.50143815915628,0.69826435246996,0.5837053571428573
LLaMA-8B,one-llm,0.7,0.4919028340080971,0.6488651535380507,0.5595854922279793
LLaMA-8B,one-llm,0.8,0.4872340425531914,0.6114819759679573,0.542332741267022
LLaMA-8B,one-llm,0.9,0.4622991347342398,0.4993324432576769,0.4801026957637997
LLaMA-8B,one-llm,1.0,0.4868421052631579,0.0987983978638184,0.1642619311875693
LLaMA-8B,all-llm,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-8B,all-llm,0.1,0.5040128410914928,0.8384512683578104,0.6295739348370928
LLaMA-8B,all-llm,0.2,0.5157179269328802,0.8104138851802403,0.6303219106957424
LLaMA-8B,all-llm,0.3,0.5080357142857143,0.7596795727636849,0.6088817549491706
LLaMA-8B,all-llm,0.4,0.5054054054054054,0.7489986648865153,0.603550295857988
LLaMA-8B,all-llm,0.5,0.5037593984962406,0.7156208277703605,0.5912851627137342
LLaMA-8B,all-llm,0.6,0.5023786869647955,0.7049399198931909,0.5866666666666667
LLaMA-8B,all-llm,0.7,0.4924012158054711,0.6488651535380507,0.5599078341013826
LLaMA-8B,all-llm,0.8,0.4749733759318424,0.595460614152203,0.528436018957346
LLaMA-8B,all-llm,0.9,0.4444444444444444,0.4753004005340454,0.4593548387096774
LLaMA-8B,all-llm,1.0,0.4487179487179487,0.0467289719626168,0.0846432889963724
LLaMA-70B,one-expl,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-70B,one-expl,0.1,0.5064758009543285,0.9919893190921228,0.6705776173285198
LLaMA-70B,one-expl,0.2,0.5068212824010914,0.9919893190921228,0.670880361173815
LLaMA-70B,one-expl,0.3,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.4,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.5,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.6,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.7,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.8,0.5068399452804377,0.9893190921228304,0.6702849389416554
LLaMA-70B,one-expl,0.9,0.515946137491141,0.97196261682243,0.674074074074074
LLaMA-70B,one-expl,1.0,0.6181818181818182,0.0907877169559412,0.1583236321303841
LLaMA-70B,one-llm,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-70B,one-llm,0.1,0.5155925155925156,0.9933244325767692,0.6788321167883212
LLaMA-70B,one-llm,0.2,0.5178446466060181,0.9879839786381842,0.6795224977043158
LLaMA-70B,one-llm,0.3,0.5284671532846715,0.9666221628838452,0.6833411986786219
LLaMA-70B,one-llm,0.4,0.5440729483282675,0.9559412550066756,0.6934624697336562
LLaMA-70B,one-llm,0.5,0.5592,0.9332443257676902,0.6993496748374187
LLaMA-70B,one-llm,0.6,0.5739495798319327,0.9118825100133512,0.704486848891181
LLaMA-70B,one-llm,0.7,0.574468085106383,0.829105473965287,0.678688524590164
LLaMA-70B,one-llm,0.8,0.5776135163674763,0.7303070761014686,0.6450471698113208
LLaMA-70B,one-llm,0.9,0.5962099125364432,0.5460614152202937,0.5700348432055748
LLaMA-70B,one-llm,1.0,0.7857142857142857,0.0146862483311081,0.0288335517693315
LLaMA-70B,all-llm,0.0,0.4993333333333333,1.0,0.666073810582481
LLaMA-70B,all-llm,0.1,0.5113091158327622,0.9959946595460614,0.6757246376811594
LLaMA-70B,all-llm,0.2,0.5166898470097357,0.9919893190921228,0.67946959304984
LLaMA-70B,all-llm,0.3,0.5305096913137114,0.986648865153538,0.6900093370681605
LLaMA-70B,all-llm,0.4,0.542962962962963,0.9786381842456608,0.698427822772749
LLaMA-70B,all-llm,0.5,0.5611681136543015,0.9492656875834444,0.7053571428571429
LLaMA-70B,all-llm,0.6,0.5694682675814752,0.8865153538050734,0.6934725848563968
LLaMA-70B,all-llm,0.7,0.5685685685685685,0.7583444592790387,0.6498855835240275
LLaMA-70B,all-llm,0.8,0.5690072639225182,0.6275033377837116,0.5968253968253969
LLaMA-70B,all-llm,0.9,0.6217303822937625,0.4125500667556742,0.4959871589085072
LLaMA-70B,all-llm,1.0,0.7619047619047619,0.0213618157543391,0.0415584415584415
Qwen-7B,one-expl,0.0,0.5135699373695198,0.985313751668892,0.6752058554437328
Qwen-7B,one-expl,0.1,0.5164912280701754,0.9826435246995996,0.6770929162833486
Qwen-7B,one-expl,0.2,0.5165376495425756,0.9799732977303072,0.6764976958525345
Qwen-7B,one-expl,0.3,0.5190947666195191,0.9799732977303072,0.6786870087840962
Qwen-7B,one-expl,0.4,0.520893371757925,0.965287049399199,0.6766495086569958
Qwen-7B,one-expl,0.5,0.520893371757925,0.965287049399199,0.6766495086569958
Qwen-7B,one-expl,0.6,0.520893371757925,0.965287049399199,0.6766495086569958
Qwen-7B,one-expl,0.7,0.5226939970717424,0.9532710280373832,0.6751773049645391
Qwen-7B,one-expl,0.8,0.5268006700167505,0.8397863818424566,0.6474523932063819
Qwen-7B,one-expl,0.9,0.5128205128205128,0.2937249666221629,0.3735144312393888
Qwen-7B,one-expl,1.0,0.6129032258064516,0.0253671562082777,0.0487179487179487
Qwen-7B,one-llm,0.0,0.5135699373695198,0.985313751668892,0.6752058554437328
Qwen-7B,one-llm,0.1,0.5196793002915452,0.951935914552737,0.6723243752946723
Qwen-7B,one-llm,0.2,0.5287356321839081,0.8598130841121495,0.6548042704626333
Qwen-7B,one-llm,0.3,0.5338541666666666,0.8210947930574098,0.6470278800631246
Qwen-7B,one-llm,0.4,0.5330882352941176,0.774365821094793,0.6314643440391943
Qwen-7B,one-llm,0.5,0.5295238095238095,0.7423230974632844,0.6181211784324624
Qwen-7B,one-llm,0.6,0.5228174603174603,0.7036048064085447,0.5998861696072851
Qwen-7B,one-llm,0.7,0.5155412647374062,0.6421895861148198,0.5719381688466113
Qwen-7B,one-llm,0.8,0.5151515151515151,0.5901201602136181,0.5500933416303672
Qwen-7B,one-llm,0.9,0.5048678720445062,0.4846461949265687,0.4945504087193461
Qwen-7B,one-llm,1.0,0.5093167701863354,0.1094793057409879,0.1802197802197802
Qwen-7B,all-llm,0.0,0.5135699373695198,0.985313751668892,0.6752058554437328
Qwen-7B,all-llm,0.1,0.5338142470694319,0.7903871829105474,0.6372443487621098
Qwen-7B,all-llm,0.2,0.5463087248322148,0.5433911882510013,0.5448460508701473
Qwen-7B,all-llm,0.3,0.5339233038348082,0.4833110814419226,0.5073580939032937
Qwen-7B,all-llm,0.4,0.5405819295558959,0.4712950600801068,0.5035663338088445
Qwen-7B,all-llm,0.5,0.5429017160686428,0.4646194926568758,0.5007194244604316
Qwen-7B,all-llm,0.6,0.5379537953795379,0.4352469959946595,0.481180811808118
Qwen-7B,all-llm,0.7,0.5376712328767124,0.4192256341789052,0.4711177794448612
Qwen-7B,all-llm,0.8,0.5379188712522046,0.4072096128170894,0.4635258358662614
Qwen-7B,all-llm,0.9,0.5532786885245902,0.3604806408544726,0.4365400161681487
Qwen-7B,all-llm,1.0,0.5,0.0774365821094793,0.1341040462427745
Qwen-72B,one-expl,0.0,0.4993333333333333,1.0,0.666073810582481
Qwen-72B,one-expl,0.1,0.4993333333333333,1.0,0.666073810582481
Qwen-72B,one-expl,0.2,0.4993333333333333,1.0,0.666073810582481
Qwen-72B,one-expl,0.3,0.5023474178403756,1.0,0.6687500000000001
Qwen-72B,one-expl,0.4,0.5037086985839514,0.9973297730307076,0.6693548387096775
Qwen-72B,one-expl,0.5,0.5037086985839514,0.9973297730307076,0.6693548387096775
Qwen-72B,one-expl,0.6,0.5037086985839514,0.9973297730307076,0.6693548387096775
Qwen-72B,one-expl,0.7,0.5043889264010804,0.9973297730307076,0.6699551569506726
Qwen-72B,one-expl,0.8,0.5172900494001411,0.9786381842456608,0.6768236380424746
Qwen-72B,one-expl,0.9,0.5886524822695035,0.3324432576769025,0.4249146757679181
Qwen-72B,one-expl,1.0,1.0,0.0066755674232309,0.013262599469496
Qwen-72B,one-llm,0.0,0.4993333333333333,1.0,0.666073810582481
Qwen-72B,one-llm,0.1,0.5003344481605351,0.9986648865153538,0.6666666666666667
Qwen-72B,one-llm,0.2,0.5020270270270271,0.9919893190921228,0.6666666666666666
Qwen-72B,one-llm,0.3,0.5040871934604905,0.9879839786381842,0.6675687866486243
Qwen-72B,one-llm,0.4,0.5104166666666666,0.9813084112149532,0.6715395157606212
Qwen-72B,one-llm,0.5,0.5204888569374551,0.9666221628838452,0.6766355140186916
Qwen-72B,one-llm,0.6,0.5322338830584707,0.9479305740987984,0.6817090734517522
Qwen-72B,one-llm,0.7,0.556642216788916,0.9118825100133512,0.6912955465587044
Qwen-72B,one-llm,0.8,0.570362473347548,0.7142857142857143,0.6342620035566093
Qwen-72B,one-llm,0.9,0.6034214618973561,0.5180240320427236,0.5574712643678161
Qwen-72B,one-llm,1.0,0.8888888888888888,0.0106809078771695,0.021108179419525
Qwen-72B,all-llm,0.0,0.4993333333333333,1.0,0.666073810582481
Qwen-72B,all-llm,0.1,0.499330655957162,0.9959946595460614,0.6651805617476594
Qwen-72B,all-llm,0.2,0.504394861392833,0.9959946595460614,0.6696588868940753
Qwen-72B,all-llm,0.3,0.5095890410958904,0.9933244325767692,0.6736079674060661
Qwen-72B,all-llm,0.4,0.5180212014134276,0.9786381842456608,0.677449168207024
Qwen-72B,all-llm,0.5,0.532150776053215,0.9612817089452604,0.6850618458610845
Qwen-72B,all-llm,0.6,0.5435126582278481,0.917222963951936,0.6825633383010432
Qwen-72B,all-llm,0.7,0.5750232991612302,0.8237650200267023,0.677277716794731
Qwen-72B,all-llm,0.8,0.5950413223140496,0.5767690253671562,0.5857627118644068
Qwen-72B,all-llm,0.9,0.6178343949044586,0.2590120160213618,0.3650047036688617
Qwen-72B,all-llm,1.0,0.75,0.0040053404539385,0.0079681274900398
